author,Methodological research,Open source development,Clinical evidence generation,Open community data standards,paperCount
"Heider, P",1,2,0,1,4
"Hockett, C",0,0,4,0,4
"Hong, N",1,1,0,2,4
"Im, Y",0,0,2,2,4
"Isom, S",0,0,4,0,4
"Jensen, E",0,0,4,0,4
"Jeon, Y",0,0,3,1,4
"Jeong, C",0,0,2,2,4
"Jin, P",1,1,2,0,4
"Joo, H",0,0,0,4,4
"Kang, T",0,2,0,2,4
"Kent, S",0,0,3,1,4
"Kim, D",1,0,2,1,4
"Klann, J",0,1,0,3,4
"Ko, S",0,0,2,2,4
"Lawrence, J",0,0,4,0,4
"Luo, Y",1,2,0,1,4
"Maljković, F",1,1,2,0,4
"Mayer-Davis, E",0,0,4,0,4
"Meystre, S",1,2,0,1,4
"Mohan, V",0,0,4,0,4
"Moskovitch, R",4,0,0,0,4
"N'Dow, J",1,0,3,0,4
"Park, H",0,0,1,3,4
"Parrot, A",0,0,0,4,4
"Praveen, P",0,0,4,0,4
"Qureshi, N",2,0,1,1,4
"Reese, J",1,0,2,1,4
"Reeves, R",0,1,0,3,4
"Robinson, P",1,0,2,1,4
"Ruddy, K",1,0,0,3,4
"Ryu, B",2,0,0,2,4
"Song, S",0,0,4,0,4
"Steinbeisser, C",0,1,3,0,4
"Steyerberg, E",4,0,0,0,4
"Tandon, N",0,0,4,0,4
"Thurin, N",3,0,1,0,4
"Tian, Y",2,1,1,0,4
"Torre, C",1,0,3,0,4
"Trifirò, G",2,0,0,2,4
"Van Speybroeck, M",0,0,2,2,4
"Wang, Y",0,1,0,3,4
"Warner, J",1,0,0,3,4
"Weidner, J",0,0,1,3,4
"Weiskopf, N",0,0,2,2,4
"Welebob, E",3,0,0,1,4
"Wen, H",0,0,4,0,4
"Wilcox, A",0,1,2,1,4
"Wolfien, M",1,0,0,3,4
"Yang, C",3,1,0,0,4
"Yi, S",0,0,1,3,4
"Yoo, J",0,0,4,0,4
"Yoo, Y",3,0,1,0,4
"Yoon, J",0,0,3,1,4
"Zhou, X",2,0,0,2,4
"Zhou, Y",1,1,0,2,4
"Zhu, H",0,0,4,0,4
"Zhu, R",2,0,1,1,4
"Zong, N",1,0,0,3,4
"Zozus, M",0,1,0,3,4
"Abanos, S",0,0,1,2,3
"Abbott, T",0,0,3,0,3
"Adams, W",0,1,0,2,3
"Ahn, E",1,0,0,2,3
"Alloni, A",0,2,0,1,3
"Almeida, J",2,0,0,1,3
"Andryc, A",0,0,3,0,3
"Asiimwe, A",1,0,2,0,3
"Avillach, P",0,0,0,3,3
"Bardenheuer, K",0,0,2,1,3
"Bate, A",2,0,0,1,3
"Bellentani, M",0,0,1,2,3
"Benichou, J",3,0,0,0,3
"Benoit, B",1,0,0,2,3
"Bertolin, S",0,0,2,1,3
"Beuscart, J",0,0,0,3,3
"Bian, J",1,0,2,0,3
"Biedermann, P",0,0,2,1,3
"Bjartell, A",1,0,2,0,3
"Blau, H",1,0,2,0,3
"Blin, P",3,0,0,0,3
"Boeker, M",0,1,0,2,3
"Bremer, C",2,0,1,0,3
"Brooks, I",0,0,1,2,3
"Bräuner, K",3,0,0,0,3
"Butte, A",0,2,1,0,3
"Callahan, A",1,1,1,0,3
"Cappelletti, L",1,0,2,0,3
"Chazard, E",0,0,0,3,3
"Cornet, R",0,1,0,2,3
"Cornford, P",1,0,2,0,3
"De Keizer, N",0,1,0,2,3
"De Meulder, B",0,0,3,0,3
"Deer, R",0,0,3,0,3
"Dellavalle, R",0,0,3,0,3
"Doutreligne, M",0,0,0,3,3
"Droz-Perroteau, C",3,0,0,0,3
"Espinoza, J",0,1,0,2,3
"Fontana, T",1,0,2,0,3
"Gabetta, M",0,2,0,1,3
"Gall, W",0,0,0,3,3
"Gandaglia, G",1,0,2,0,3
"Ganslandt, T",0,0,0,3,3
"Ge, J",1,0,2,0,3
"Gruber, S",3,0,0,0,3
"Gögenur, I",3,0,0,0,3
"Han, M",0,0,3,0,3
"Harpaz, R",2,0,0,1,3
"Haug, M",1,1,0,1,3
"Hernandez-Boussard, T",2,0,1,0,3
"Hester, L",0,0,3,0,3
"Hijazy, A",0,0,3,0,3
"Jo, S",0,0,2,1,3
"John, L",0,0,3,0,3
"Johnson, S",1,0,0,2,3
"Jung, S",0,0,0,3,3
"Jödicke, A",0,0,2,1,3
"Kaduk, D",0,0,2,1,3
"Kallfelz, M",0,0,0,3,3
"Kang, S",1,0,2,0,3
"Karlebach, G",1,0,2,0,3
"Khare, R",0,1,0,2,3
"Kiefer, R",0,2,0,1,3
"Kim, G",1,0,1,1,3
"Kim, M",0,0,3,0,3
"Klazinga, N",0,0,1,2,3
"Knoll, C",1,1,0,1,3
"Kondylakis, H",0,0,0,3,3
"Kors, J",3,0,0,0,3
"Krastev, E",0,0,1,2,3
"Kwak, M",0,0,3,0,3
"Lai, J",1,0,2,0,3
"Lapi, F",0,0,1,2,3
"Lassalle, R",3,0,0,0,3
"Lee, E",0,0,3,0,3
"Liang, C",3,0,0,0,3
"Liu, L",0,0,3,0,3
"Liu, Q",2,0,0,1,3
"Liu, S",1,1,0,1,3
"Lorberbaum, T",2,0,1,0,3
"Lu, Y",0,0,2,1,3
"Madlock-Brown, C",1,0,0,2,3
"Maier, C",0,1,0,2,3
"Majeed, R",0,1,0,2,3
"Martinez Roldan, J",0,0,3,0,3
"Martinez, A",0,0,0,3,3
"Matcho, A",1,0,0,2,3
"McLeggon, J",2,0,1,0,3
"Miller, T",0,0,0,3,3
"Miotto, R",0,1,2,0,3
"Moinat, M",0,0,0,3,3
"Moore, J",2,0,0,1,3
"Moore, N",3,0,0,0,3
"Morris, M",1,0,1,1,3
"Mosseveld, M",0,0,2,1,3
"Mun, Y",0,0,3,0,3
"Newby, D",0,1,2,0,3
"Nguyen, P",0,0,1,2,3
"Nicoletti, R",1,0,2,0,3
"Niehaus, E",1,0,0,2,3
"Ohno-Machado, L",1,0,0,2,3
"Oliveira, J",1,0,0,2,3
"Ottman, R",1,0,2,0,3
"Pajusalu, M",1,1,0,1,3
"Paris, N",0,0,0,3,3
"Park, B",0,1,2,0,3
"Pasqua, A",0,0,1,2,3
"Pathak, J",0,2,0,1,3
"Phuong, J",0,0,0,3,3
"Polubriaginof, F",1,0,2,0,3
"Puttmann, D",0,1,0,2,3
"Pénichon, M",3,0,0,0,3
"Qian, Z",2,0,1,0,3
"Rassen, J",3,0,0,0,3
"Rhee, S",1,0,2,0,3
"Rinner, C",0,0,0,3,3
"Rivera, D",0,0,1,2,3
"Rogers, J",1,0,1,1,3
"Roh, J",0,0,0,3,3
"Rosen, A",3,0,0,0,3
"Ross, J",1,0,1,1,3
"Saltz, J",2,0,1,0,3
"Seo, W",0,0,3,0,3
"Seol, S",0,1,2,0,3
"Setoguchi, S",0,0,1,2,3
"Shervey, M",0,1,2,0,3
"Shin, H",2,0,1,0,3
"Sivesind, T",0,0,3,0,3
"Smith, D",1,0,2,0,3
"Song, J",0,0,3,0,3
"Song, W",1,0,1,1,3
"Stewart, H",1,0,1,1,3
"Sung, C",0,0,2,1,3
"Tcharaktchiev, D",0,0,1,2,3
"Thun, S",0,0,0,3,3
"Tsouchnika, A",3,0,0,0,3
"Tsuji, S",1,0,0,2,3
"Valentini, G",1,0,2,0,3
"Valveny, N",0,0,3,0,3
"Van Hemelrijck, M",2,0,1,0,3
"Van Zandt, M",1,0,2,0,3
"Vilo, J",0,2,0,1,3
"Waitman, L",0,0,0,3,3
"Wang, S",2,1,0,0,3
"Weill, A",3,0,0,0,3
"Willemse, P",1,0,2,0,3
"Woo, S",0,0,3,0,3
"Wooldridge, J",2,0,1,0,3
"Wu, Y",1,0,2,0,3
"Xu, Y",2,0,0,1,3
"Yang, J",1,0,2,0,3
"Yang, K",0,0,3,0,3
"Yoon, D",1,0,0,2,3
"Yoon, S",1,0,1,1,3
"Yoon, Y",1,0,0,2,3
"Youngerman, B",1,0,2,0,3
"Zhang, S",0,1,1,1,3
"Zhou, J",0,0,2,1,3
"Zhuk, O",0,0,3,0,3
"de Lusignan, S",0,0,1,2,3
"de Maeztu, G",0,0,3,0,3
"van Bochove, K",0,1,2,0,3
"van Sandijk, S",0,0,1,2,3
"Abedtash, H",0,0,2,0,2
"Adekkanattu, P",0,2,0,0,2
"Agnew, J",0,0,0,2,2
"Ahn, S",0,0,2,0,2
"Al-Shukri, S",0,1,0,1,2
"Alberga, A",0,0,2,0,2
"Albers, D",2,0,0,0,2
"Ancker, J",0,2,0,0,2
"Andre, J",0,0,0,2,2
"Anzalone, A",0,0,1,1,2
"Argyriou, G",1,0,1,0,2
"Asselbergs, F",0,0,0,2,2
"Austin, C",1,0,1,0,2
"Baghal, A",0,1,0,1,2
"Bakhshi-Raiez, F",0,0,0,2,2
"Bang, C",0,0,2,0,2
"Barbarini, N",0,2,0,0,2
"Barletta, V",0,0,1,1,2
"Bartos, M",0,0,0,2,2
"Bauck, A",0,0,0,2,2
"Baxter, R",0,0,0,2,2
"Baxter, S",0,0,0,2,2
"Beaton, M",0,0,1,1,2
