name	paperCount	firstYear
Gall, W	3	2018
Gandaglia, G	3	2024
Ganslandt, T	4	2018
Garcia Morales, M	2	2023
Garza, M	2	2016
Gasman, S	2	2024
Ge, J	3	2021
Gebler, R	3	2024
Gersing, K	2	2021
Giangreco, N	4	2019
Giannini, J	2	2024
Gil Rojas, J	2	2023
Gilbert, J	5	2023
Gini, R	5	2012
Girvin, A	6	2021
Glicksberg, B	3	2019
Goetz, K	5	2023
Gögenur, I	5	2021
Gögenur, M	3	2022
Gold, S	2	2018
Golozar, A	23	2020
Gómez Rivas, J	2	2024
Gong, M	8	2021
Gradinger, T	2	2019
Gratton, J	2	2024
Gravele, D	3	2024
Greenfield, J	5	2023
Gregory, A	2	2024
Gribbon, P	2	2024
Griffier, R	3	2020
Griffon, N	2	2020
Gruber, S	3	2013
Gruendner, J	2	2019
Gruhl, M	5	2020
Guarner-Argente, C	2	2024
Guinney, J	3	2021
Gulden, C	4	2019
Gundler, C	2	2023
Günster, C	2	2023
Günther, A	2	2021
Guo, J	3	2018
Guo, Y	5	2019
Gupta, A	2	2020
Gurley, M	4	2019
Haberson, A	2	2019
Haendel, M	10	2021
Hafeez, H	2	2023
Hague, C	2	2022
Hajagos, J	3	2021
Halfpenny, W	3	2023
Hall, C	2	2022
Hall, N	2	2024
Hallinan, C	2	2024
Halvorsen, L	3	2022
Halvorson, A	2	2021
Hamman, R	3	2021
Han, M	3	2023
Hanauer, D	2	2020
Hanchrow, E	3	2019
Hardin, J	11	2019
Harpaz, R	4	2013
Hartzema, A	10	2010
Hauben, M	2	2016
Haug, M	4	2023
Haverkamp, C	2	2018
Hayati, S	2	2024
Hayes, J	2	2024
Haynes, K	3	2023
He, X	4	2022
He, Y	4	2019
Heider, P	4	2019
Henke, E	16	2022
Herings, R	2	2012
Hernandez-Boussard, T	3	2018
Hester, L	5	2019
Hijazy, A	3	2024
Hilka, M	2	2020
Hinske, L	2	2025
Hobbs, F	2	2020
Hockett, C	3	2021
Hoffmann, K	2	2024
Hogarth, M	2	2014
Holmes, J	2	2020
Hong, N	7	2018
Hong, S	6	2021
Höning, G	2	2018
Horban, S	6	2022
Hornig, M	2	2025
Horvitz, E	2	2014
Houghtaling, J	3	2022
Hribar, M	5	2023
Hripcsak, G	106	2013
Hruby, G	2	2017
Hsu, J	4	2022
Hsu, M	4	2022
Hu, Y	2	2022
Huang, C	2	2024
Huang, M	2	2020
Huang, Y	2	2024
Hubbard, R	2	2015
Hughes, N	6	2019
Hulsen, T	2	2024
Humphreys, K	2	2024
Hurwitz, N	2	2016
Husain, S	2	2018
Huser, V	15	2013
Hussein, R	7	2023
Hwang, H	7	2020
Hwang, K	2	2023
Im, Y	4	2021
Imran Omar, M	2	2024
Innocenti, F	2	2012
Inoue, S	2	2024
Ioannou, S	3	2022
Iqbal, U	3	2018
Islam, M	2	2022
Isom, S	3	2021
Itzel, T	2	2023
Jang, J	7	2022
Javaid, M	2	2020
Jayathissa, P	2	2024
Jefferson, E	3	2022
Jensen, E	3	2021
Jeon, H	6	2020
Jeon, J	3	2023
Jeon, K	3	2024
Jeon, Y	4	2020
Jeong, C	4	2022
Jhaveri, R	6	2024
Ji, H	2	2020
Ji, X	2	2021
Jiang, G	14	2017
Jiang, X	2	2021
Jin, H	2	2021
Jin, P	4	2017
Jin, S	2	2018
Jing, N	2	2024
Jo, S	4	2021
Jödicke, A	9	2023
John, L	12	2019
Johnson, K	2	2018
Johnson, S	4	2016
Johnston, S	2	2019
Jones, N	2	2020
Jonnagaddala, J	10	2018
Jonsson, P	2	2021
Joo, H	7	2020
Joo, S	2	2024
Joo, Y	2	2022
Joss, M	2	2018
Joy, M	2	2020
Jung, C	3	2020
Jung, H	2	2022
Jung, K	3	2018
Jung, S	6	2017
Kaas-Hansen, B	5	2020
Kadengye, D	2	2024
Kaduk, D	3	2020
Kahn, M	19	2012
Kallfelz, M	4	2022
Kalokyri, V	3	2023
Kamijima, Y	3	2018
Kang, D	2	2023
Kang, J	2	2025
Kang, M	3	2021
Kang, S	3	2021
Kang, T	4	2017
Kanjala, C	2	2024
Kanter, A	2	2023
Kao Yang, Y	2	2018
Kapsner, L	3	2019
Karim, H	2	2020
Karlebach, G	2	2022
Kaspar, M	2	2025
Katsch, F	6	2023
Kawakami, Y	2	2024
Kelleher, K	2	2024
Kenny, C	3	2024
Kent, S	3	2020
Kern, D	8	2020
Kerner, B	3	2016
Khalid, S	13	2020
Khare, R	4	2016
Khera, R	8	2022
Khosla, S	2	2020
Kiefer, R	4	2017
Kim, B	8	2022
Kim, C	21	2020
Kim, D	5	2016
Kim, E	3	2021
Kim, G	2	2021
Kim, H	13	2013
Kim, I	2	2022
Kim, J	55	2016
Kim, K	21	2014
Kim, M	5	2021
Kim, S	34	2020
Kim, T	4	2020
Kim, W	2	2022
Kim, Y	24	2019
Kimura, E	2	2024
Kimura, S	3	2018
Kingsbury, P	2	2019
Kiragga, A	4	2024
Kiryluk, K	2	2018
Kiwuwa-Muyingo, S	4	2023
Kizilaslan, B	2	2024
Klann, J	5	2018
Klazinga, N	3	2016
Knoll, C	5	2015
Ko, G	2	2021
Ko, S	5	2022
Ko, Y	2	2020
Köhler, S	2	2023
Kolde, R	14	2022
Kolovos, S	4	2019
Kondylakis, H	3	2023
Korntheuer, R	2	2023
Kors, J	18	2022
Kosa, A	3	2024
Kostka, K	32	2020
Kramarz, P	2	2024
Kraska, D	2	2019
Krastev, E	4	2023
Krasteva, R	2	2024
Kreiner, K	3	2024
Kremer, A	2	2024
Krievins, D	3	2024
Krumholz, H	14	2019
Kubota, K	3	2018
Kullo, I	2	2019
Kurz, X	2	2020
Kwak, M	3	2021
Kwon, Y	3	2021
Labarga, A	2	2024
Lai, J	3	2021
Lai, L	16	2021
Lam, I	2	2024
Lambert, C	8	2014
Lamer, A	8	2020
Lane, J	12	2020
Lapi, F	2	2016
